,power
,apparent
1641024000,3.0
1641024001,3.0
1641024002,3.0
1641024003,3.0
1641024004,3.0
1641024005,3.0
1641024006,3.0
1641024007,3.0
1641024008,3.0
1641024009,3.0
1641024010,3.0
1641024011,3.0
1641024012,3.0
1641024013,3.0
1641024014,3.0
1641024015,2.0
1641024016,2.0
1641024017,2.0
1641024018,2.0
1641024019,2.0
1641024020,2.0
1641024021,2.0
1641024022,2.0
1641024023,2.0
1641024024,2.0
1641024025,2.0
1641024026,2.0
1641024027,2.0
1641024028,2.0
1641024029,2.0
1641024030,2.0
1641024031,2.0
1641024032,2.0
1641024033,2.0
1641024034,2.0
1641024035,34.0
1641024036,34.0
1641024037,34.0
1641024038,34.0
1641024039,34.0
1641024040,146.0
1641024041,146.0
1641024042,146.0
1641024043,146.0
1641024044,146.0
1641024045,102.0
1641024046,102.0
1641024047,102.0
1641024048,102.0
1641024049,102.0
1641024050,199.0
1641024051,199.0
1641024052,199.0
1641024053,199.0
1641024054,199.0
1641024055,193.0
1641024056,193.0
1641024057,193.0
1641024058,193.0
1641024059,193.0
1641024060,191.0
1641024061,191.0
1641024062,191.0
1641024063,191.0
1641024064,191.0
1641024065,188.0
1641024066,188.0
1641024067,188.0
1641024068,188.0
1641024069,188.0
1641024070,158.0
1641024071,158.0
1641024072,158.0
1641024073,158.0
1641024074,158.0
1641024075,149.0
1641024076,149.0
1641024077,149.0
1641024078,149.0
1641024079,149.0
1641024080,148.0
1641024081,148.0
1641024082,148.0
1641024083,148.0
1641024084,148.0
1641024085,144.0
1641024086,144.0
1641024087,144.0
1641024088,144.0
1641024089,144.0
1641024090,144.0
1641024091,144.0
1641024092,144.0
1641024093,144.0
1641024094,144.0
1641024095,144.0
1641024096,144.0
1641024097,144.0
1641024098,144.0
1641024099,144.0
1641024100,147.0
1641024101,147.0
1641024102,147.0
1641024103,147.0
1641024104,147.0
1641024105,144.0
1641024106,144.0
1641024107,144.0
1641024108,144.0
1641024109,144.0
1641024110,144.0
1641024111,144.0
1641024112,144.0
1641024113,144.0
1641024114,144.0
1641024115,144.0
1641024116,144.0
1641024117,144.0
1641024118,144.0
1641024119,144.0
1641024120,144.0
