Time Bucket (America/Chicago),Load Disaggregation 1_1 (kWatts)
11/16/2022 14:37:37,0.0000
11/16/2022 14:37:38,0.0000
11/16/2022 14:37:39,0.0000
11/16/2022 14:37:40,0.0000
11/16/2022 14:37:41,0.0000
11/16/2022 14:37:42,0.0000
11/16/2022 14:37:43,0.0000
11/16/2022 14:37:44,0.0000
11/16/2022 14:37:45,0.0000
11/16/2022 14:37:46,0.0000
11/16/2022 14:37:47,1.4390
11/16/2022 14:37:48,1.4390
11/16/2022 14:37:49,1.4390
11/16/2022 14:37:50,1.4390
11/16/2022 14:37:51,1.4390
11/16/2022 14:37:52,1.4315
11/16/2022 14:37:53,1.4315
11/16/2022 14:37:54,1.4315
11/16/2022 14:37:55,1.4315
11/16/2022 14:37:56,1.4315
11/16/2022 14:37:57,1.4278
11/16/2022 14:37:58,1.4278
11/16/2022 14:37:59,1.4278
11/16/2022 14:38:00,1.4278
11/16/2022 14:38:01,1.4278
11/16/2022 14:38:02,1.4283
11/16/2022 14:38:03,1.4283
11/16/2022 14:38:04,1.4283
11/16/2022 14:38:05,1.4283
11/16/2022 14:38:06,1.4283
11/16/2022 14:38:07,1.2384
11/16/2022 14:38:08,1.2384
11/16/2022 14:38:09,1.2384
11/16/2022 14:38:10,1.2384
11/16/2022 14:38:11,1.2384
11/16/2022 14:38:12,0.0000
11/16/2022 14:38:13,0.0000
11/16/2022 14:38:14,0.0000
11/16/2022 14:38:15,0.0000
11/16/2022 14:38:16,0.0000
11/16/2022 14:38:17,0.0000
11/16/2022 14:38:18,0.0000
11/16/2022 14:38:19,0.0000
11/16/2022 14:38:20,0.0000
11/16/2022 14:38:21,0.0000
11/16/2022 14:38:22,0.0000
11/16/2022 14:38:23,0.0000
11/16/2022 14:38:24,0.0000
11/16/2022 14:38:25,0.0000
11/16/2022 14:38:26,0.0000
11/16/2022 14:38:27,0.0000
11/16/2022 14:38:28,0.0000
11/16/2022 14:38:29,0.0000
11/16/2022 14:38:30,0.0000
11/16/2022 14:38:31,0.0000
11/16/2022 14:38:32,0.0000
11/16/2022 14:38:33,0.0000
11/16/2022 14:38:34,0.0000
11/16/2022 14:38:35,0.0000
11/16/2022 14:38:36,0.0000
11/16/2022 14:38:37,0.0000
11/16/2022 14:38:38,0.0000
11/16/2022 14:38:39,0.0000
11/16/2022 14:38:40,0.0000
11/16/2022 14:38:41,0.0000
11/16/2022 14:38:42,0.0000
11/16/2022 14:38:43,0.0000
11/16/2022 14:38:44,0.0000
11/16/2022 14:38:45,0.0000
11/16/2022 14:38:46,0.0000
11/16/2022 14:38:47,0.0000
11/16/2022 14:38:48,0.0000
11/16/2022 14:38:49,0.0000
11/16/2022 14:38:50,0.0000
11/16/2022 14:38:51,0.0000
11/16/2022 14:38:52,0.0000
11/16/2022 14:38:53,0.0000
11/16/2022 14:38:54,0.0000
11/16/2022 14:38:55,0.0000
11/16/2022 14:38:56,0.0000
11/16/2022 14:38:57,0.0000
11/16/2022 14:38:58,0.0000
11/16/2022 14:38:59,0.0000
11/16/2022 14:39:00,0.0000
11/16/2022 14:39:01,0.0000
11/16/2022 14:39:02,0.0000
11/16/2022 14:39:03,0.0000
11/16/2022 14:39:04,0.0000
11/16/2022 14:39:05,0.0000
11/16/2022 14:39:06,0.0000
11/16/2022 14:39:07,1.4119
11/16/2022 14:39:08,1.4119
11/16/2022 14:39:09,1.4119
11/16/2022 14:39:10,1.4119
11/16/2022 14:39:11,1.4119
11/16/2022 14:39:12,1.4188
11/16/2022 14:39:13,1.4188
11/16/2022 14:39:14,1.4188
11/16/2022 14:39:15,1.4188
11/16/2022 14:39:16,1.4188
11/16/2022 14:39:17,1.4111
11/16/2022 14:39:18,1.4111
11/16/2022 14:39:19,1.4111
11/16/2022 14:39:20,1.4111
11/16/2022 14:39:21,1.4111
11/16/2022 14:39:22,1.4082
11/16/2022 14:39:23,1.4082
11/16/2022 14:39:24,1.4082
11/16/2022 14:39:25,1.4082
11/16/2022 14:39:26,1.4082
11/16/2022 14:39:27,1.4072
11/16/2022 14:39:28,1.4072
11/16/2022 14:39:29,1.4072
11/16/2022 14:39:30,1.4072
11/16/2022 14:39:31,1.4072
11/16/2022 14:39:32,1.4094
11/16/2022 14:39:33,1.4094
11/16/2022 14:39:34,1.4094
11/16/2022 14:39:35,1.4094
11/16/2022 14:39:36,1.4094
11/16/2022 14:39:37,1.4110
11/16/2022 14:39:38,1.4110
11/16/2022 14:39:39,1.4110
11/16/2022 14:39:40,1.4110
11/16/2022 14:39:41,1.4110
11/16/2022 14:39:42,1.4109
11/16/2022 14:39:43,1.4109
11/16/2022 14:39:44,1.4109
11/16/2022 14:39:45,1.4109
11/16/2022 14:39:46,1.4109
11/16/2022 14:39:47,1.4085
11/16/2022 14:39:48,1.4085
11/16/2022 14:39:49,1.4085
11/16/2022 14:39:50,1.4085
11/16/2022 14:39:51,1.4085
11/16/2022 14:39:52,1.4083
11/16/2022 14:39:53,1.4083
11/16/2022 14:39:54,1.4083
11/16/2022 14:39:55,1.4083
11/16/2022 14:39:56,1.4083
11/16/2022 14:39:57,1.4079
11/16/2022 14:39:58,1.4079
11/16/2022 14:39:59,1.4079
11/16/2022 14:40:00,1.4079
11/16/2022 14:40:01,1.4079
11/16/2022 14:40:02,1.3975
11/16/2022 14:40:03,1.3975
11/16/2022 14:40:04,1.3975
11/16/2022 14:40:05,1.3975
11/16/2022 14:40:06,1.3975
11/16/2022 14:40:07,1.3936
11/16/2022 14:40:08,1.3936
11/16/2022 14:40:09,1.3936
11/16/2022 14:40:10,1.3936
11/16/2022 14:40:11,1.3936
11/16/2022 14:40:12,1.3927
11/16/2022 14:40:13,1.3927
11/16/2022 14:40:14,1.3927
11/16/2022 14:40:15,1.3927
11/16/2022 14:40:16,1.3927
11/16/2022 14:40:17,1.3934
11/16/2022 14:40:18,1.3934
11/16/2022 14:40:19,1.3934
11/16/2022 14:40:20,1.3934
11/16/2022 14:40:21,1.3934
11/16/2022 14:40:22,1.3896
11/16/2022 14:40:23,1.3896
11/16/2022 14:40:24,1.3896
11/16/2022 14:40:25,1.3896
11/16/2022 14:40:26,1.3896
11/16/2022 14:40:27,1.3807
11/16/2022 14:40:28,1.3807
11/16/2022 14:40:29,1.3807
11/16/2022 14:40:30,1.3807
11/16/2022 14:40:31,1.3807
11/16/2022 14:40:32,1.3766
11/16/2022 14:40:33,1.3766
11/16/2022 14:40:34,1.3766
11/16/2022 14:40:35,1.3766
11/16/2022 14:40:36,1.3766
11/16/2022 14:40:37,1.3821
11/16/2022 14:40:38,1.3821
11/16/2022 14:40:39,1.3821
11/16/2022 14:40:40,1.3821
11/16/2022 14:40:41,1.3821
11/16/2022 14:40:42,1.3838
11/16/2022 14:40:43,1.3838
11/16/2022 14:40:44,1.3838
11/16/2022 14:40:45,1.3838
11/16/2022 14:40:46,1.3838
11/16/2022 14:40:47,1.3802
11/16/2022 14:40:48,1.3802
11/16/2022 14:40:49,1.3802
11/16/2022 14:40:50,1.3802
11/16/2022 14:40:51,1.3802
11/16/2022 14:40:52,1.3960
11/16/2022 14:40:53,1.3960
11/16/2022 14:40:54,1.3960
11/16/2022 14:40:55,1.3960
11/16/2022 14:40:56,1.3960
11/16/2022 14:40:57,1.3906
11/16/2022 14:40:58,1.3906
11/16/2022 14:40:59,1.3906
11/16/2022 14:41:00,1.3906
11/16/2022 14:41:01,1.3906
11/16/2022 14:41:02,1.3968
11/16/2022 14:41:03,1.3968
11/16/2022 14:41:04,1.3968
11/16/2022 14:41:05,1.3968
11/16/2022 14:41:06,1.3968
11/16/2022 14:41:07,1.4054
11/16/2022 14:41:08,1.4054
11/16/2022 14:41:09,1.4054
11/16/2022 14:41:10,1.4054
11/16/2022 14:41:11,1.4054
11/16/2022 14:41:12,1.4098
11/16/2022 14:41:13,1.4098
11/16/2022 14:41:14,1.4098
11/16/2022 14:41:15,1.4098
11/16/2022 14:41:16,1.4098
11/16/2022 14:41:17,1.4149
11/16/2022 14:41:18,1.4149
11/16/2022 14:41:19,1.4149
11/16/2022 14:41:20,1.4149
11/16/2022 14:41:21,1.4149
11/16/2022 14:41:22,1.4111
11/16/2022 14:41:23,1.4111
11/16/2022 14:41:24,1.4111
11/16/2022 14:41:25,1.4111
11/16/2022 14:41:26,1.4111
11/16/2022 14:41:27,1.4055
11/16/2022 14:41:28,1.4055
11/16/2022 14:41:29,1.4055
11/16/2022 14:41:30,1.4055
11/16/2022 14:41:31,1.4055
11/16/2022 14:41:32,1.4100
11/16/2022 14:41:33,1.4100
11/16/2022 14:41:34,1.4100
11/16/2022 14:41:35,1.4100
11/16/2022 14:41:36,1.4100
11/16/2022 14:41:37,1.4150
11/16/2022 14:41:38,1.4150
11/16/2022 14:41:39,1.4150
11/16/2022 14:41:40,1.4150
11/16/2022 14:41:41,1.4150
11/16/2022 14:41:42,1.4154
11/16/2022 14:41:43,1.4154
11/16/2022 14:41:44,1.4154
11/16/2022 14:41:45,1.4154
11/16/2022 14:41:46,1.4154
11/16/2022 14:41:47,1.4142
11/16/2022 14:41:48,1.4142
11/16/2022 14:41:49,1.4142
11/16/2022 14:41:50,1.4142
11/16/2022 14:41:51,1.4142
11/16/2022 14:41:52,1.4136
11/16/2022 14:41:53,1.4136
11/16/2022 14:41:54,1.4136
11/16/2022 14:41:55,1.4136
11/16/2022 14:41:56,1.4136
11/16/2022 14:41:57,1.4151
11/16/2022 14:41:58,1.4151
11/16/2022 14:41:59,1.4151
11/16/2022 14:42:00,1.4151
11/16/2022 14:42:01,1.4151
11/16/2022 14:42:02,1.4151
11/16/2022 14:42:03,1.4151
11/16/2022 14:42:04,1.4151
11/16/2022 14:42:05,1.4151
11/16/2022 14:42:06,1.4151
11/16/2022 14:42:07,1.4142
11/16/2022 14:42:08,1.4142
11/16/2022 14:42:09,1.4142
11/16/2022 14:42:10,1.4142
11/16/2022 14:42:11,1.4142
11/16/2022 14:42:12,1.4144
11/16/2022 14:42:13,1.4144
11/16/2022 14:42:14,1.4144
11/16/2022 14:42:15,1.4144
11/16/2022 14:42:16,1.4144
11/16/2022 14:42:17,1.4133
11/16/2022 14:42:18,1.4133
11/16/2022 14:42:19,1.4133
11/16/2022 14:42:20,1.4133
11/16/2022 14:42:21,1.4133
11/16/2022 14:42:22,1.4145
11/16/2022 14:42:23,1.4145
11/16/2022 14:42:24,1.4145
11/16/2022 14:42:25,1.4145
11/16/2022 14:42:26,1.4145
11/16/2022 14:42:27,1.4146
11/16/2022 14:42:28,1.4146
11/16/2022 14:42:29,1.4146
11/16/2022 14:42:30,1.4146
11/16/2022 14:42:31,1.4146
11/16/2022 14:42:32,1.4154
11/16/2022 14:42:33,1.4154
11/16/2022 14:42:34,1.4154
11/16/2022 14:42:35,1.4154
11/16/2022 14:42:36,1.4154
11/16/2022 14:42:37,1.4149
11/16/2022 14:42:38,1.4149
11/16/2022 14:42:39,1.4149
11/16/2022 14:42:40,1.4149
11/16/2022 14:42:41,1.4149
11/16/2022 14:42:42,1.4165
11/16/2022 14:42:43,1.4165
11/16/2022 14:42:44,1.4165
11/16/2022 14:42:45,1.4165
11/16/2022 14:42:46,1.4165
11/16/2022 14:42:47,1.4158
11/16/2022 14:42:48,1.4158
11/16/2022 14:42:49,1.4158
11/16/2022 14:42:50,1.4158
11/16/2022 14:42:51,1.4158
11/16/2022 14:42:52,1.4147
11/16/2022 14:42:53,1.4147
11/16/2022 14:42:54,1.4147
11/16/2022 14:42:55,1.4147
11/16/2022 14:42:56,1.4147
11/16/2022 14:42:57,1.4180
11/16/2022 14:42:58,1.4180
11/16/2022 14:42:59,1.4180
11/16/2022 14:43:00,1.4180
11/16/2022 14:43:01,1.4180
11/16/2022 14:43:02,1.4163
11/16/2022 14:43:03,1.4163
11/16/2022 14:43:04,1.4163
11/16/2022 14:43:05,1.4163
11/16/2022 14:43:06,1.4163
11/16/2022 14:43:07,1.4083
11/16/2022 14:43:08,1.4083
11/16/2022 14:43:09,1.4083
11/16/2022 14:43:10,1.4083
11/16/2022 14:43:11,1.4083
11/16/2022 14:43:12,1.4138
11/16/2022 14:43:13,1.4138
11/16/2022 14:43:14,1.4138
