Time Bucket (America/Chicago),Load Disaggregation 1_1 (kWatts)
11/15/2022 15:41:54,0.0014
11/15/2022 15:41:55,0.0014
11/15/2022 15:41:56,0.0014
11/15/2022 15:41:57,0.0014
11/15/2022 15:41:58,0.0014
11/15/2022 15:41:59,0.0014
11/15/2022 15:42:00,0.0014
11/15/2022 15:42:01,0.0014
11/15/2022 15:42:02,0.0014
11/15/2022 15:42:03,0.0014
11/15/2022 15:42:04,0.0014
11/15/2022 15:42:05,0.0014
11/15/2022 15:42:06,0.0014
11/15/2022 15:42:07,0.0014
11/15/2022 15:42:08,0.0014
11/15/2022 15:42:09,0
11/15/2022 15:42:10,0
11/15/2022 15:42:11,0
11/15/2022 15:42:12,0
11/15/2022 15:42:13,0
11/15/2022 15:42:14,0
11/15/2022 15:42:15,0
11/15/2022 15:42:16,0
11/15/2022 15:42:17,0
11/15/2022 15:42:18,0
11/15/2022 15:42:19,0
11/15/2022 15:42:20,0
11/15/2022 15:42:21,0
11/15/2022 15:42:22,0
11/15/2022 15:42:23,0
11/15/2022 15:42:24,0
11/15/2022 15:42:25,0
11/15/2022 15:42:26,0
11/15/2022 15:42:27,0
11/15/2022 15:42:28,0
11/15/2022 15:42:29,0.0321
11/15/2022 15:42:30,0.0321
11/15/2022 15:42:31,0.0321
11/15/2022 15:42:32,0.0321
11/15/2022 15:42:33,0.0321
11/15/2022 15:42:34,0.1441
11/15/2022 15:42:35,0.1441
11/15/2022 15:42:36,0.1441
11/15/2022 15:42:37,0.1441
11/15/2022 15:42:38,0.1441
11/15/2022 15:42:39,0.1007
11/15/2022 15:42:40,0.1007
11/15/2022 15:42:41,0.1007
11/15/2022 15:42:42,0.1007
11/15/2022 15:42:43,0.1007
11/15/2022 15:42:44,0.1973
11/15/2022 15:42:45,0.1973
11/15/2022 15:42:46,0.1973
11/15/2022 15:42:47,0.1973
11/15/2022 15:42:48,0.1973
11/15/2022 15:42:49,0.1913
11/15/2022 15:42:50,0.1913
11/15/2022 15:42:51,0.1913
11/15/2022 15:42:52,0.1913
11/15/2022 15:42:53,0.1913
11/15/2022 15:42:54,0.1895
11/15/2022 15:42:55,0.1895
11/15/2022 15:42:56,0.1895
11/15/2022 15:42:57,0.1895
11/15/2022 15:42:58,0.1895
11/15/2022 15:42:59,0.1866
11/15/2022 15:43:00,0.1866
11/15/2022 15:43:01,0.1866
11/15/2022 15:43:02,0.1866
11/15/2022 15:43:03,0.1866
11/15/2022 15:43:04,0.1564
11/15/2022 15:43:05,0.1564
11/15/2022 15:43:06,0.1564
11/15/2022 15:43:07,0.1564
11/15/2022 15:43:08,0.1564
11/15/2022 15:43:09,0.1478
11/15/2022 15:43:10,0.1478
11/15/2022 15:43:11,0.1478
11/15/2022 15:43:12,0.1478
11/15/2022 15:43:13,0.1478
11/15/2022 15:43:14,0.1468
11/15/2022 15:43:15,0.1468
11/15/2022 15:43:16,0.1468
11/15/2022 15:43:17,0.1468
11/15/2022 15:43:18,0.1468
11/15/2022 15:43:19,0.1424
11/15/2022 15:43:20,0.1424
11/15/2022 15:43:21,0.1424
11/15/2022 15:43:22,0.1424
11/15/2022 15:43:23,0.1424
11/15/2022 15:43:24,0.142
11/15/2022 15:43:25,0.142
11/15/2022 15:43:26,0.142
11/15/2022 15:43:27,0.142
11/15/2022 15:43:28,0.142
11/15/2022 15:43:29,0.1423
11/15/2022 15:43:30,0.1423
11/15/2022 15:43:31,0.1423
11/15/2022 15:43:32,0.1423
11/15/2022 15:43:33,0.1423
11/15/2022 15:43:34,0.145
11/15/2022 15:43:35,0.145
11/15/2022 15:43:36,0.145
11/15/2022 15:43:37,0.145
11/15/2022 15:43:38,0.145
11/15/2022 15:43:39,0.1424
11/15/2022 15:43:40,0.1424
11/15/2022 15:43:41,0.1424
11/15/2022 15:43:42,0.1424
11/15/2022 15:43:43,0.1424
11/15/2022 15:43:44,0.1423
11/15/2022 15:43:45,0.1423
11/15/2022 15:43:46,0.1423
11/15/2022 15:43:47,0.1423
11/15/2022 15:43:48,0.1423
11/15/2022 15:43:49,0.1422
11/15/2022 15:43:50,0.1422
11/15/2022 15:43:51,0.1422
11/15/2022 15:43:52,0.1422
11/15/2022 15:43:53,0.1422
11/15/2022 15:43:54,0.1423
11/15/2022 15:43:55,0.1423
11/15/2022 15:43:56,0.1423
11/15/2022 15:43:57,0.1423
11/15/2022 15:43:58,0.1423
11/15/2022 15:43:59,0.1452
11/15/2022 15:44:00,0.1452
11/15/2022 15:44:01,0.1452
11/15/2022 15:44:02,0.1452
11/15/2022 15:44:03,0.1452
11/15/2022 15:44:04,0.1425
11/15/2022 15:44:05,0.1425
11/15/2022 15:44:06,0.1425
11/15/2022 15:44:07,0.1425
11/15/2022 15:44:08,0.1425
11/15/2022 15:44:09,0.1423
11/15/2022 15:44:10,0.1423
11/15/2022 15:44:11,0.1423
11/15/2022 15:44:12,0.1423
11/15/2022 15:44:13,0.1423
11/15/2022 15:44:14,0.1427
11/15/2022 15:44:15,0.1427
11/15/2022 15:44:16,0.1427
11/15/2022 15:44:17,0.1427
11/15/2022 15:44:18,0.1427
11/15/2022 15:44:19,0.1454
11/15/2022 15:44:20,0.1454
11/15/2022 15:44:21,0.1454
11/15/2022 15:44:22,0.1454
11/15/2022 15:44:23,0.1454
11/15/2022 15:44:24,0.1431
11/15/2022 15:44:25,0.1431
11/15/2022 15:44:26,0.1431
11/15/2022 15:44:27,0.1431
11/15/2022 15:44:28,0.1431
11/15/2022 15:44:29,0.1432
11/15/2022 15:44:30,0.1432
11/15/2022 15:44:31,0.1432
11/15/2022 15:44:32,0.1432
11/15/2022 15:44:33,0.1432
11/15/2022 15:44:34,0.1423
11/15/2022 15:44:35,0.1423
11/15/2022 15:44:36,0.1423
11/15/2022 15:44:37,0.1423
