Time Bucket (America/Chicago),Load Disaggregation 1_1 (kWatts)
11/15/2022 15:03:18,0
11/15/2022 15:03:19,0
11/15/2022 15:03:20,0
11/15/2022 15:03:21,0
11/15/2022 15:03:22,0
11/15/2022 15:03:23,0
11/15/2022 15:03:24,0
11/15/2022 15:03:25,0
11/15/2022 15:03:26,0
11/15/2022 15:03:27,0
11/15/2022 15:03:28,0
11/15/2022 15:03:29,0
11/15/2022 15:03:30,0
11/15/2022 15:03:31,0
11/15/2022 15:03:32,0
11/15/2022 15:03:33,0
11/15/2022 15:03:34,0
11/15/2022 15:03:35,0
11/15/2022 15:03:36,0
11/15/2022 15:03:37,0
11/15/2022 15:03:38,0
11/15/2022 15:03:39,0
11/15/2022 15:03:40,0
11/15/2022 15:03:41,0
11/15/2022 15:03:42,0
11/15/2022 15:03:43,0
11/15/2022 15:03:44,0
11/15/2022 15:03:45,0
11/15/2022 15:03:46,0
11/15/2022 15:03:47,0
11/15/2022 15:03:48,0
11/15/2022 15:03:49,0
11/15/2022 15:03:50,0
11/15/2022 15:03:51,0
11/15/2022 15:03:52,0
11/15/2022 15:03:53,0
11/15/2022 15:03:54,0
11/15/2022 15:03:55,0
11/15/2022 15:03:56,0
11/15/2022 15:03:57,0
11/15/2022 15:03:58,0
11/15/2022 15:03:59,0
11/15/2022 15:04:00,0
11/15/2022 15:04:01,0
11/15/2022 15:04:02,0
11/15/2022 15:04:03,0
11/15/2022 15:04:04,0
11/15/2022 15:04:05,0
11/15/2022 15:04:06,0
11/15/2022 15:04:07,0
11/15/2022 15:04:08,0
11/15/2022 15:04:09,0
11/15/2022 15:04:10,0
11/15/2022 15:04:11,0
11/15/2022 15:04:12,0
11/15/2022 15:04:13,0
11/15/2022 15:04:14,0
11/15/2022 15:04:15,0
11/15/2022 15:04:16,0
11/15/2022 15:04:17,0
11/15/2022 15:04:18,0
11/15/2022 15:04:19,0
11/15/2022 15:04:20,0
11/15/2022 15:04:21,0
11/15/2022 15:04:22,0
11/15/2022 15:04:23,0
11/15/2022 15:04:24,0
11/15/2022 15:04:25,0
11/15/2022 15:04:26,0
11/15/2022 15:04:27,0
11/15/2022 15:04:28,0
11/15/2022 15:04:29,0
11/15/2022 15:04:30,0
11/15/2022 15:04:31,0
11/15/2022 15:04:32,0
11/15/2022 15:04:33,0
11/15/2022 15:04:34,0
11/15/2022 15:04:35,0
11/15/2022 15:04:36,0
11/15/2022 15:04:37,0
11/15/2022 15:04:38,0
11/15/2022 15:04:39,0
11/15/2022 15:04:40,0
11/15/2022 15:04:41,0
11/15/2022 15:04:42,0
11/15/2022 15:04:43,0
11/15/2022 15:04:44,0
11/15/2022 15:04:45,0
11/15/2022 15:04:46,0
11/15/2022 15:04:47,0
11/15/2022 15:04:48,0
11/15/2022 15:04:49,0
11/15/2022 15:04:50,0
11/15/2022 15:04:51,0
11/15/2022 15:04:52,0
11/15/2022 15:04:53,0
11/15/2022 15:04:54,0
11/15/2022 15:04:55,0
11/15/2022 15:04:56,0
11/15/2022 15:04:57,0
11/15/2022 15:04:58,0
11/15/2022 15:04:59,0
11/15/2022 15:05:00,0
11/15/2022 15:05:01,0
11/15/2022 15:05:02,0
11/15/2022 15:05:03,0
11/15/2022 15:05:04,0
11/15/2022 15:05:05,0
11/15/2022 15:05:06,0
11/15/2022 15:05:07,0
11/15/2022 15:05:08,0
11/15/2022 15:05:09,0
11/15/2022 15:05:10,0
11/15/2022 15:05:11,0
11/15/2022 15:05:12,0
11/15/2022 15:05:13,0.0014
11/15/2022 15:05:14,0.0014
11/15/2022 15:05:15,0.0014
11/15/2022 15:05:16,0.0014
11/15/2022 15:05:17,0.0014
11/15/2022 15:05:18,0.0014
11/15/2022 15:05:19,0.0014
11/15/2022 15:05:20,0.0014
11/15/2022 15:05:21,0.0014
11/15/2022 15:05:22,0.0014
11/15/2022 15:05:23,0.0014
11/15/2022 15:05:24,0.0014
11/15/2022 15:05:25,0.0014
11/15/2022 15:05:26,0.0014
11/15/2022 15:05:27,0.0014
11/15/2022 15:05:28,0.0014
11/15/2022 15:05:29,0.0014
11/15/2022 15:05:30,0.0014
11/15/2022 15:05:31,0.0014
11/15/2022 15:05:32,0.0014
11/15/2022 15:05:33,0.0014
11/15/2022 15:05:34,0.0014
11/15/2022 15:05:35,0.0014
11/15/2022 15:05:36,0.0014
11/15/2022 15:05:37,0.0014
11/15/2022 15:05:38,0.9128
11/15/2022 15:05:39,0.9128
11/15/2022 15:05:40,0.9128
11/15/2022 15:05:41,0.9128
11/15/2022 15:05:42,0.9128
11/15/2022 15:05:43,0.9128
11/15/2022 15:05:44,0.9128
11/15/2022 15:05:45,0.9128
11/15/2022 15:05:46,0.9128
11/15/2022 15:05:47,0.9128
11/15/2022 15:05:48,1.667
11/15/2022 15:05:49,1.667
11/15/2022 15:05:50,1.667
11/15/2022 15:05:51,1.667
11/15/2022 15:05:52,1.667
11/15/2022 15:05:53,1.6668
11/15/2022 15:05:54,1.6668
11/15/2022 15:05:55,1.6668
11/15/2022 15:05:56,1.6668
11/15/2022 15:05:57,1.6668
11/15/2022 15:05:58,1.6652
11/15/2022 15:05:59,1.6652
11/15/2022 15:06:00,1.6652
11/15/2022 15:06:01,1.6652
11/15/2022 15:06:02,1.6652
11/15/2022 15:06:03,1.6614
11/15/2022 15:06:04,1.6614
11/15/2022 15:06:05,1.6614
11/15/2022 15:06:06,1.6614
11/15/2022 15:06:07,1.6614
11/15/2022 15:06:08,1.6574
11/15/2022 15:06:09,1.6574
11/15/2022 15:06:10,1.6574
11/15/2022 15:06:11,1.6574
11/15/2022 15:06:12,1.6574
11/15/2022 15:06:13,1.6574
11/15/2022 15:06:14,1.6574
11/15/2022 15:06:15,1.6574
11/15/2022 15:06:16,1.6574
11/15/2022 15:06:17,1.6574
11/15/2022 15:06:18,1.6516
11/15/2022 15:06:19,1.6516
11/15/2022 15:06:20,1.6516
11/15/2022 15:06:21,1.6516
11/15/2022 15:06:22,1.6516
11/15/2022 15:06:23,1.6477
11/15/2022 15:06:24,1.6477
11/15/2022 15:06:25,1.6477
11/15/2022 15:06:26,1.6477
11/15/2022 15:06:27,1.6477
11/15/2022 15:06:28,1.6359
11/15/2022 15:06:29,1.6359
11/15/2022 15:06:30,1.6359
11/15/2022 15:06:31,1.6359
11/15/2022 15:06:32,1.6359
11/15/2022 15:06:33,1.6336
11/15/2022 15:06:34,1.6336
11/15/2022 15:06:35,1.6336
11/15/2022 15:06:36,1.6336
11/15/2022 15:06:37,1.6336
11/15/2022 15:06:38,0.5363
11/15/2022 15:06:39,0.5363
11/15/2022 15:06:40,0.5363
11/15/2022 15:06:41,0.5363
11/15/2022 15:06:42,0.5363
11/15/2022 15:06:43,0.0014
11/15/2022 15:06:44,0.0014
11/15/2022 15:06:45,0.0014
11/15/2022 15:06:46,0.0014
11/15/2022 15:06:47,0.0014
11/15/2022 15:06:48,0.0014
11/15/2022 15:06:49,0.0014
11/15/2022 15:06:50,0.0014
11/15/2022 15:06:51,0.0014
11/15/2022 15:06:52,0.0014
11/15/2022 15:06:53,1.1402
11/15/2022 15:06:54,1.1402
11/15/2022 15:06:55,1.1402
11/15/2022 15:06:56,1.1402
11/15/2022 15:06:57,1.1402
11/15/2022 15:06:58,1.1402
11/15/2022 15:06:59,1.1402
11/15/2022 15:07:00,1.1402
11/15/2022 15:07:01,1.1402
11/15/2022 15:07:02,1.1402
11/15/2022 15:07:03,1.6052
11/15/2022 15:07:04,1.6052
11/15/2022 15:07:05,1.6052
11/15/2022 15:07:06,1.6052
11/15/2022 15:07:07,1.6052
11/15/2022 15:07:08,0.8088
11/15/2022 15:07:09,0.8088
11/15/2022 15:07:10,0.8088
11/15/2022 15:07:11,0.8088
11/15/2022 15:07:12,0.8088
11/15/2022 15:07:13,0.8088
11/15/2022 15:07:14,0.8088
11/15/2022 15:07:15,0.8088
11/15/2022 15:07:16,0.8088
11/15/2022 15:07:17,0.8088
11/15/2022 15:07:18,0.0014
11/15/2022 15:07:19,0.0014
11/15/2022 15:07:20,0.0014
11/15/2022 15:07:21,0.0014
11/15/2022 15:07:22,0.0014
11/15/2022 15:07:23,0.0014
11/15/2022 15:07:24,0.0014
11/15/2022 15:07:25,0.0014
11/15/2022 15:07:26,0.0014
11/15/2022 15:07:27,0.0014
11/15/2022 15:07:28,0.0014
11/15/2022 15:07:29,0.0014
11/15/2022 15:07:30,0.0014
11/15/2022 15:07:31,0.0014
11/15/2022 15:07:32,0.0014
11/15/2022 15:07:33,0.0014
11/15/2022 15:07:34,0.0014
11/15/2022 15:07:35,0.0014
11/15/2022 15:07:36,0.0014
11/15/2022 15:07:37,0.0014
11/15/2022 15:07:38,0.0014
11/15/2022 15:07:39,0.0014
11/15/2022 15:07:40,0.0014
11/15/2022 15:07:41,0.0014
11/15/2022 15:07:42,0.0014
11/15/2022 15:07:43,0.0014
11/15/2022 15:07:44,0.0014
11/15/2022 15:07:45,0.0014
11/15/2022 15:07:46,0.0014
11/15/2022 15:07:47,0.0014
11/15/2022 15:07:48,0.0014
11/15/2022 15:07:49,0.0014
11/15/2022 15:07:50,0.0014
11/15/2022 15:07:51,0.0014
11/15/2022 15:07:52,0.0014
11/15/2022 15:07:53,0.0014
11/15/2022 15:07:54,0.0014
11/15/2022 15:07:55,0.0014
11/15/2022 15:07:56,0.0014
11/15/2022 15:07:57,0.0014
11/15/2022 15:07:58,0.0014
11/15/2022 15:07:59,0.0014
11/15/2022 15:08:00,0.0014
11/15/2022 15:08:01,0.0014
11/15/2022 15:08:02,0.0014
11/15/2022 15:08:03,0.0014
11/15/2022 15:08:04,0.0014
11/15/2022 15:08:05,0.0014
11/15/2022 15:08:06,0.0014
11/15/2022 15:08:07,0.0014
11/15/2022 15:08:08,0.0378
11/15/2022 15:08:09,0.0378
11/15/2022 15:08:10,0.0378
11/15/2022 15:08:11,0.0378
11/15/2022 15:08:12,0.0378
11/15/2022 15:08:13,0.0378
11/15/2022 15:08:14,0.0378
11/15/2022 15:08:15,0.0378
11/15/2022 15:08:16,0.0378
11/15/2022 15:08:17,0.0378
11/15/2022 15:08:18,0.0378
11/15/2022 15:08:19,0.0378
11/15/2022 15:08:20,0.0378
11/15/2022 15:08:21,0.0378
11/15/2022 15:08:22,0.0378
11/15/2022 15:08:23,1.5148
11/15/2022 15:08:24,1.5148
11/15/2022 15:08:25,1.5148
11/15/2022 15:08:26,1.5148
11/15/2022 15:08:27,1.5148
11/15/2022 15:08:28,1.5632
11/15/2022 15:08:29,1.5632
11/15/2022 15:08:30,1.5632
11/15/2022 15:08:31,1.5632
11/15/2022 15:08:32,1.5632
11/15/2022 15:08:33,1.5632
11/15/2022 15:08:34,1.5632
11/15/2022 15:08:35,1.5632
11/15/2022 15:08:36,1.5632
11/15/2022 15:08:37,1.5632
11/15/2022 15:08:38,1.5623
11/15/2022 15:08:39,1.5623
11/15/2022 15:08:40,1.5623
11/15/2022 15:08:41,1.5623
11/15/2022 15:08:42,1.5623
11/15/2022 15:08:43,1.5611
11/15/2022 15:08:44,1.5611
11/15/2022 15:08:45,1.5611
11/15/2022 15:08:46,1.5611
11/15/2022 15:08:47,1.5611
11/15/2022 15:08:48,1.5506
11/15/2022 15:08:49,1.5506
11/15/2022 15:08:50,1.5506
11/15/2022 15:08:51,1.5506
11/15/2022 15:08:52,1.5506
11/15/2022 15:08:53,1.5506
11/15/2022 15:08:54,1.5506
11/15/2022 15:08:55,1.5506
11/15/2022 15:08:56,1.5506
11/15/2022 15:08:57,1.5506
11/15/2022 15:08:58,1.5506
11/15/2022 15:08:59,1.5506
11/15/2022 15:09:00,1.5506
11/15/2022 15:09:01,1.5506
11/15/2022 15:09:02,1.5506
11/15/2022 15:09:03,1.5506
11/15/2022 15:09:04,1.5506
11/15/2022 15:09:05,1.5506
11/15/2022 15:09:06,1.5506
