,power
,apparent
1640995200,2
1640995201,2
1640995202,2
1640995203,2
1640995204,2
1640995205,2
1640995206,2
1640995207,2
1640995208,2
1640995209,2
1640995210,2
1640995211,2
1640995212,2
1640995213,2
1640995214,2
1640995215,2
1640995216,2
1640995217,2
1640995218,2
1640995219,2
1640995220,2
1640995221,2
1640995222,2
1640995223,2
1640995224,2
1640995225,2
1640995226,2
1640995227,2
1640995228,2
1640995229,2
1640995230,2
1640995231,2
1640995232,2
1640995233,2
1640995234,2
1640995235,2
1640995236,2
1640995237,2
1640995238,2
1640995239,2
1640995240,2
1640995241,2
1640995242,2
1640995243,2
1640995244,2
1640995245,2
1640995246,2
1640995247,2
1640995248,2
1640995249,2
1640995250,2
1640995251,2
1640995252,2
1640995253,2
1640995254,2
1640995255,2
1640995256,2
1640995257,2
1640995258,2
1640995259,2
1640995260,2
1640995261,2
1640995262,2
1640995263,2
1640995264,2
1640995265,2
1640995266,2
1640995267,2
1640995268,2
1640995269,2
1640995270,2
1640995271,2
1640995272,2
1640995273,2
1640995274,2
1640995275,2
1640995276,2
1640995277,2
1640995278,2
1640995279,2
1640995280,2
1640995281,2
1640995282,2
1640995283,2
1640995284,2
1640995285,2
1640995286,2
1640995287,2
1640995288,2
1640995289,2
1640995290,2
1640995291,2
1640995292,2
1640995293,2
1640995294,2
1640995295,2
1640995296,2
1640995297,2
1640995298,2
1640995299,2
1640995300,2
1640995301,2
1640995302,2
1640995303,2
1640995304,2
1640995305,2
1640995306,2
1640995307,2
1640995308,2
1640995309,2
1640995310,2
1640995311,2
1640995312,2
1640995313,2
1640995314,2
1640995315,2
1640995316,2
1640995317,2
1640995318,2
1640995319,2
1640995320,2
1640995321,2
1640995322,2
1640995323,2
1640995324,2
1640995325,2
1640995326,2
1640995327,2
1640995328,2
1640995329,2
1640995330,2
1640995331,2
1640995332,2
1640995333,2
1640995334,2
1640995335,2
1640995336,2
1640995337,2
1640995338,2
1640995339,2
1640995340,2
1640995341,2
1640995342,2
1640995343,2
1640995344,2
1640995345,2
1640995346,2
1640995347,2
1640995348,2
1640995349,2
1640995350,2
1640995351,2
1640995352,2
1640995353,2
1640995354,2
1640995355,2
1640995356,2
1640995357,2
1640995358,2
1640995359,2
1640995360,2
1640995361,2
1640995362,2
1640995363,2
1640995364,2
1640995365,2
1640995366,2
1640995367,2
1640995368,2
1640995369,2
1640995370,2
1640995371,2
1640995372,2
1640995373,2
1640995374,2
1640995375,2
1640995376,2
1640995377,2
1640995378,2
1640995379,2
1640995380,2
1640995381,2
1640995382,2
1640995383,2
1640995384,2
1640995385,2
1640995386,2
1640995387,2
1640995388,2
1640995389,2
1640995390,2
1640995391,2
1640995392,2
1640995393,2
1640995394,2
1640995395,2
1640995396,2
1640995397,2
1640995398,2
1640995399,2
1640995400,2
1640995401,2
1640995402,2
1640995403,2
1640995404,2
1640995405,2
1640995406,2
1640995407,2
1640995408,2
1640995409,2
1640995410,2
1640995411,2
1640995412,2
1640995413,2
1640995414,2
1640995415,2
1640995416,2
1640995417,2
1640995418,2
1640995419,2
1640995420,2
1640995421,2
1640995422,2
1640995423,2
1640995424,2
1640995425,2
1640995426,2
1640995427,2
1640995428,2
1640995429,2
1640995430,2
1640995431,2
1640995432,2
1640995433,2
1640995434,2
1640995435,2
1640995436,2
1640995437,2
1640995438,2
1640995439,2
1640995440,2
1640995441,2
1640995442,2
1640995443,2
1640995444,2
1640995445,2
1640995446,2
1640995447,2
1640995448,2
1640995449,2
1640995450,2
1640995451,2
1640995452,2
1640995453,2
1640995454,2
1640995455,2
1640995456,2
1640995457,2
1640995458,2
1640995459,2
1640995460,2
1640995461,2
1640995462,2
1640995463,2
1640995464,2
1640995465,2
1640995466,2
1640995467,2
1640995468,2
1640995469,2
1640995470,2
1640995471,2
1640995472,2
1640995473,2
1640995474,2
1640995475,2
1640995476,2
1640995477,2
1640995478,2
1640995479,2
1640995480,2
1640995481,2
1640995482,2
1640995483,2
1640995484,2
1640995485,2
1640995486,2
1640995487,2
1640995488,2
1640995489,2
1640995490,2
1640995491,2
1640995492,2
1640995493,2
1640995494,2
1640995495,2
1640995496,2
1640995497,2
1640995498,2
1640995499,2
1640995500,2
1640995501,2
1640995502,2
1640995503,2
1640995504,2
1640995505,2
1640995506,2
1640995507,2
1640995508,2
1640995509,2
1640995510,2
1640995511,2
1640995512,2
1640995513,2
1640995514,2
1640995515,2
1640995516,2
1640995517,2
1640995518,2
1640995519,2
1640995520,2
1640995521,2
1640995522,2
1640995523,2
1640995524,2
1640995525,2
1640995526,2
1640995527,2
1640995528,2
1640995529,2
1640995530,2
1640995531,2
1640995532,2
1640995533,2
1640995534,2
1640995535,2
1640995536,2
1640995537,2
1640995538,2
1640995539,2
1640995540,2
1640995541,2
1640995542,2
1640995543,2
1640995544,2
1640995545,2
1640995546,2
1640995547,2
1640995548,2
1640995549,2
1640995550,2
1640995551,2
1640995552,2
1640995553,2
1640995554,2
1640995555,2
1640995556,2
1640995557,2
1640995558,2
1640995559,2
1640995560,2
1640995561,2
1640995562,2
1640995563,2
1640995564,2
1640995565,2
1640995566,2
1640995567,2
1640995568,2
1640995569,2
1640995570,2
1640995571,2
1640995572,2
1640995573,2
1640995574,2
1640995575,2
1640995576,2
1640995577,2
1640995578,2
1640995579,2
1640995580,2
1640995581,2
1640995582,2
1640995583,2
1640995584,2
1640995585,2
1640995586,2
1640995587,2
1640995588,2
1640995589,2
1640995590,2
1640995591,2
1640995592,2
1640995593,2
1640995594,2
1640995595,2
1640995596,2
1640995597,2
1640995598,2
1640995599,2
1640995600,2
1640995601,2
1640995602,2
1640995603,2
1640995604,2
1640995605,2
1640995606,2
1640995607,2
1640995608,2
1640995609,2
1640995610,2
1640995611,2
1640995612,2
1640995613,2
1640995614,2
1640995615,2
1640995616,2
1640995617,2
1640995618,2
1640995619,2
1640995620,2
1640995621,2
1640995622,2
1640995623,2
1640995624,2
1640995625,2
1640995626,2
1640995627,2
1640995628,2
1640995629,2
1640995630,2
1640995631,2
1640995632,2
1640995633,2
1640995634,2
1640995635,2
1640995636,2
1640995637,2
1640995638,2
1640995639,2
1640995640,2
1640995641,2
1640995642,2
1640995643,2
1640995644,2
1640995645,2
1640995646,2
1640995647,2
1640995648,2
1640995649,2
1640995650,2
1640995651,2
1640995652,2
1640995653,2
1640995654,2
1640995655,2
1640995656,2
1640995657,2
1640995658,2
1640995659,2
1640995660,2
1640995661,2
1640995662,2
1640995663,2
1640995664,2
1640995665,2
1640995666,2
1640995667,2
1640995668,2
1640995669,2
