,power
,apparent
1640995200,3
1640995201,3
1640995202,3
1640995203,3
1640995204,3
1640995205,3
1640995206,3
1640995207,3
1640995208,3
1640995209,3
1640995210,1442
1640995211,1442
1640995212,1442
1640995213,1442
1640995214,1442
1640995215,1433
1640995216,1433
1640995217,1433
1640995218,1433
1640995219,1433
1640995220,2156
1640995221,2156
1640995222,2156
1640995223,2156
1640995224,2156
1640995225,2160
1640995226,2160
1640995227,2160
1640995228,2160
1640995229,2160
1640995230,1968
1640995231,1968
1640995232,1968
1640995233,1968
1640995234,1968
1640995235,761
1640995236,761
1640995237,761
1640995238,761
1640995239,761
1640995240,873
1640995241,873
1640995242,873
1640995243,873
1640995244,873
1640995245,829
1640995246,829
1640995247,829
1640995248,829
1640995249,829
1640995250,925
1640995251,925
1640995252,925
1640995253,925
1640995254,925
1640995255,918
1640995256,918
1640995257,918
1640995258,918
1640995259,918
1640995260,915
1640995261,915
1640995262,915
1640995263,915
1640995264,915
1640995265,912
1640995266,912
1640995267,912
1640995268,912
1640995269,912
1640995270,881
1640995271,881
1640995272,881
1640995273,881
1640995274,881
1640995275,871
1640995276,871
1640995277,871
1640995278,871
1640995279,871
1640995280,869
1640995281,869
1640995282,869
1640995283,869
1640995284,869
1640995285,864
1640995286,864
1640995287,864
1640995288,864
1640995289,864
1640995290,2489
1640995291,2489
1640995292,2489
1640995293,2489
1640995294,2489
1640995295,2497
1640995296,2497
1640995297,2497
1640995298,2497
1640995299,2497
1640995300,2491
1640995301,2491
1640995302,2491
1640995303,2491
1640995304,2491
1640995305,2484
1640995306,2484
1640995307,2484
1640995308,2484
1640995309,2484
1640995310,2484
1640995311,2484
1640995312,2484
1640995313,2484
1640995314,2484
1640995315,2488
1640995316,2488
1640995317,2488
1640995318,2488
1640995319,2488
1640995320,2490
1640995321,2490
1640995322,2490
1640995323,2490
1640995324,2490
1640995325,2492
1640995326,2492
1640995327,2492
1640995328,2492
1640995329,2492
1640995330,2483
1640995331,2483
1640995332,2483
1640995333,2483
1640995334,2483
1640995335,2469
1640995336,2469
1640995337,2469
1640995338,2469
1640995339,2469
1640995340,2675
1640995341,2675
1640995342,2675
1640995343,2675
1640995344,2675
1640995345,2669
1640995346,2669
1640995347,2669
1640995348,2669
1640995349,2669
1640995350,3418
1640995351,3418
1640995352,3418
1640995353,3418
1640995354,3418
1640995355,3416
1640995356,3416
1640995357,3416
1640995358,3416
1640995359,3416
1640995360,3411
1640995361,3411
1640995362,3411
1640995363,3411
1640995364,3411
1640995365,3400
1640995366,3400
1640995367,3400
1640995368,3400
1640995369,3400
1640995370,3396
1640995371,3396
1640995372,3396
1640995373,3396
1640995374,3396
1640995375,3390
1640995376,3390
1640995377,3390
1640995378,3390
1640995379,3390
1640995380,3391
1640995381,3391
1640995382,3391
1640995383,3391
1640995384,3391
1640995385,3388
1640995386,3388
1640995387,3388
1640995388,3388
1640995389,3388
1640995390,3372
1640995391,3372
1640995392,3372
1640995393,3372
1640995394,3372
1640995395,3386
1640995396,3386
1640995397,3386
1640995398,3386
1640995399,3386
1640995400,3000
1640995401,3000
1640995402,3000
1640995403,3000
1640995404,3000
1640995405,2477
1640995406,2477
1640995407,2477
1640995408,2477
1640995409,2477
1640995410,2484
1640995411,2484
1640995412,2484
1640995413,2484
1640995414,2484
1640995415,3625
1640995416,3625
1640995417,3625
1640995418,3625
1640995419,3625
1640995420,3635
1640995421,3635
1640995422,3635
1640995423,3635
1640995424,3635
1640995425,4093
1640995426,4093
1640995427,4093
1640995428,4093
1640995429,4093
1640995430,3289
1640995431,3289
1640995432,3289
1640995433,3289
1640995434,3289
1640995435,3292
1640995436,3292
1640995437,3292
1640995438,3292
1640995439,3292
1640995440,2485
1640995441,2485
1640995442,2485
1640995443,2485
1640995444,2485
1640995445,2483
1640995446,2483
1640995447,2483
1640995448,2483
1640995449,2483
1640995450,2489
1640995451,2489
1640995452,2489
1640995453,2489
1640995454,2489
1640995455,2488
1640995456,2488
1640995457,2488
1640995458,2488
1640995459,2488
1640995460,2495
1640995461,2495
1640995462,2495
1640995463,2495
1640995464,2495
1640995465,2492
1640995466,2492
1640995467,2492
1640995468,2492
1640995469,2492
1640995470,2490
1640995471,2490
1640995472,2490
1640995473,2490
1640995474,2490
1640995475,2488
1640995476,2488
1640995477,2488
1640995478,2488
1640995479,2488
1640995480,2484
1640995481,2484
1640995482,2484
1640995483,2484
1640995484,2484
1640995485,2485
1640995486,2485
1640995487,2485
1640995488,2485
1640995489,2485
1640995490,2524
1640995491,2524
1640995492,2524
1640995493,2524
1640995494,2524
1640995495,2523
1640995496,2523
1640995497,2523
1640995498,2523
1640995499,2523
1640995500,2520
1640995501,2520
1640995502,2520
1640995503,2520
1640995504,2520
1640995505,3994
1640995506,3994
1640995507,3994
1640995508,3994
1640995509,3994
1640995510,4040
1640995511,4040
1640995512,4040
1640995513,4040
1640995514,4040
1640995515,4045
1640995516,4045
1640995517,4045
1640995518,4045
1640995519,4045
1640995520,4059
1640995521,4059
1640995522,4059
1640995523,4059
1640995524,4059
1640995525,4053
1640995526,4053
1640995527,4053
1640995528,4053
1640995529,4053
1640995530,4061
1640995531,4061
1640995532,4061
1640995533,4061
1640995534,4061
1640995535,4031
1640995536,4031
1640995537,4031
1640995538,4031
1640995539,4031
1640995540,3351
1640995541,3351
1640995542,3351
1640995543,3351
1640995544,3351
1640995545,3344
1640995546,3344
1640995547,3344
1640995548,3344
1640995549,3344
1640995550,3314
1640995551,3314
1640995552,3314
1640995553,3314
1640995554,3314
1640995555,3316
1640995556,3316
1640995557,3316
1640995558,3316
1640995559,3316
1640995560,3267
1640995561,3267
1640995562,3267
1640995563,3267
1640995564,3267
1640995565,1897
1640995566,1897
1640995567,1897
1640995568,1897
1640995569,1897
1640995570,1885
1640995571,1885
1640995572,1885
1640995573,1885
1640995574,1885
1640995575,1886
1640995576,1886
1640995577,1886
1640995578,1886
1640995579,1886
1640995580,1879
1640995581,1879
1640995582,1879
1640995583,1879
1640995584,1879
1640995585,1877
1640995586,1877
1640995587,1877
1640995588,1877
1640995589,1877
1640995590,1864
1640995591,1864
1640995592,1864
1640995593,1864
1640995594,1864
1640995595,1864
1640995596,1864
1640995597,1864
1640995598,1864
1640995599,1864
1640995600,1853
1640995601,1853
1640995602,1853
1640995603,1853
1640995604,1853
1640995605,1860
1640995606,1860
1640995607,1860
1640995608,1860
1640995609,1860
1640995610,1854
1640995611,1854
1640995612,1854
1640995613,1854
1640995614,1854
1640995615,1860
1640995616,1860
1640995617,1860
1640995618,1860
1640995619,1860
1640995620,894
1640995621,894
1640995622,894
1640995623,894
